Number of nodes,Activation,Batch type,Learning rate,Iterations,Train,Dev,Train time
50,relu,one batch,0.1,1000,85.69,87.75,1.499283790588379
50,relu,one batch,0.1,10000,94.75,94.0,18.004060745239258
50,relu,one batch,0.1,100000,95.12,93.75,174.55761861801147
50,relu,one batch,0.01,100,50.62,47.5,0.24550533294677734
50,relu,one batch,0.01,1000,79.88,80.5,1.9210715293884277
50,relu,one batch,0.01,10000,85.69,87.75,19.966962575912476
50,relu,one batch,0.01,100000,94.75,94.0,177.8209307193756
50,relu,one batch,0.001,100,76.38,73.75,0.23175406455993652
50,relu,one batch,0.001,1000,50.62,47.5,1.9160807132720947
50,relu,one batch,0.001,10000,79.88,80.5,22.993343353271484
50,relu,one batch,0.001,100000,85.69,87.75,196.6229121685028
